A,B,C,D
40,0,Category2,2023-09-27
39,0,Category1,2023-09-28
82,0,Category1,2023-09-29
1,0,Category3,2023-09-30
11,0,Category1,2023-10-01
92,0,Category2,2023-10-02
57,0,Category1,2023-10-03
89,0,Category1,2023-10-04
50,0,Category1,2023-10-05
23,0,Category3,2023-10-06
31,0,Category1,2023-10-07
94,0,Category3,2023-10-08
42,0,Category3,2023-10-09
99,0,Category1,2023-10-10
7,0,Category3,2023-10-11
16,0,Category1,2023-10-12
90,0,Category2,2023-10-13
60,0,Category2,2023-10-14
2,0,Category3,2023-10-15
1,0,Category2,2023-10-16
48,0,Category1,2023-10-17
12,0,Category3,2023-10-18
69,0,Category1,2023-10-19
37,0,Category3,2023-10-20
32,0,Category3,2023-10-21
9,0,Category3,2023-10-22
99,0,Category3,2023-10-23
19,0,Category2,2023-10-24
48,0,Category2,2023-10-25
80,0,Category2,2023-10-26
3,0,Category3,2023-10-27
20,0,Category2,2023-10-28
24,0,Category3,2023-10-29
54,0,Category2,2023-10-30
33,0,Category3,2023-10-31
24,0,Category2,2023-11-01
75,0,Category2,2023-11-02
72,0,Category2,2023-11-03
36,0,Category3,2023-11-04
38,0,Category3,2023-11-05
84,0,Category2,2023-11-06
99,0,Category3,2023-11-07
89,0,Category1,2023-11-08
99,0,Category2,2023-11-09
25,0,Category2,2023-11-10
93,0,Category1,2023-11-11
18,0,Category3,2023-11-12
82,0,Category3,2023-11-13
66,0,Category3,2023-11-14
54,0,Category2,2023-11-15
35,0,Category2,2023-11-16
80,0,Category2,2023-11-17
61,0,Category2,2023-11-18
41,0,Category2,2023-11-19
33,0,Category3,2023-11-20
68,0,Category1,2023-11-21
33,0,Category3,2023-11-22
14,0,Category3,2023-11-23
21,0,Category2,2023-11-24
48,0,Category1,2023-11-25
20,0,Category1,2023-11-26
8,0,Category3,2023-11-27
7,0,Category1,2023-11-28
67,0,Category3,2023-11-29
17,0,Category3,2023-11-30
33,0,Category3,2023-12-01
48,0,Category3,2023-12-02
76,0,Category2,2023-12-03
59,0,Category1,2023-12-04
86,0,Category2,2023-12-05
22,0,Category2,2023-12-06
30,0,Category2,2023-12-07
38,0,Category3,2023-12-08
51,0,Category3,2023-12-09
54,0,Category2,2023-12-10
8,0,Category2,2023-12-11
27,0,Category1,2023-12-12
27,0,Category2,2023-12-13
98,0,Category3,2023-12-14
21,0,Category2,2023-12-15
30,0,Category1,2023-12-16
97,0,Category1,2023-12-17
28,0,Category2,2023-12-18
64,0,Category1,2023-12-19
97,0,Category1,2023-12-20
69,0,Category3,2023-12-21
61,0,Category1,2023-12-22
48,0,Category1,2023-12-23
19,0,Category2,2023-12-24
4,0,Category3,2023-12-25
35,0,Category1,2023-12-26
64,0,Category2,2023-12-27
49,0,Category2,2023-12-28
17,0,Category2,2023-12-29
44,0,Category2,2023-12-30
92,0,Category2,2023-12-31
30,0,Category2,2024-01-01
93,0,Category1,2024-01-02
46,0,Category3,2024-01-03
6,0,Category3,2024-01-04
99,0,Category2,2024-01-05
37,0,Category2,2024-01-06
24,0,Category3,2024-01-07
93,0,Category1,2024-01-08
46,0,Category2,2024-01-09
53,0,Category3,2024-01-10
95,0,Category3,2024-01-11
99,0,Category2,2024-01-12
60,0,Category3,2024-01-13
97,0,Category1,2024-01-14
63,0,Category3,2024-01-15
85,0,Category2,2024-01-16
32,0,Category2,2024-01-17
87,0,Category3,2024-01-18
33,0,Category3,2024-01-19
67,0,Category2,2024-01-20
18,0,Category1,2024-01-21
25,0,Category3,2024-01-22
95,0,Category1,2024-01-23
54,0,Category1,2024-01-24
58,0,Category2,2024-01-25
67,0,Category2,2024-01-26
46,0,Category2,2024-01-27
24,0,Category1,2024-01-28
32,0,Category2,2024-01-29
47,0,Category2,2024-01-30
86,0,Category1,2024-01-31
23,0,Category1,2024-02-01
66,0,Category1,2024-02-02
27,0,Category1,2024-02-03
2,0,Category3,2024-02-04
90,0,Category2,2024-02-05
17,0,Category3,2024-02-06
33,0,Category1,2024-02-07
9,0,Category1,2024-02-08
43,0,Category1,2024-02-09
48,0,Category1,2024-02-10
39,0,Category1,2024-02-11
93,0,Category2,2024-02-12
42,0,Category3,2024-02-13
26,0,Category3,2024-02-14
99,0,Category2,2024-02-15
50,0,Category2,2024-02-16
25,0,Category2,2024-02-17
24,0,Category3,2024-02-18
13,0,Category3,2024-02-19
60,0,Category1,2024-02-20
7,0,Category3,2024-02-21
57,0,Category3,2024-02-22
36,0,Category2,2024-02-23
45,0,Category3,2024-02-24
20,0,Category1,2024-02-25
65,0,Category3,2024-02-26
8,0,Category2,2024-02-27
16,0,Category2,2024-02-28
14,0,Category1,2024-02-29
76,0,Category1,2024-03-01
87,0,Category3,2024-03-02
15,0,Category1,2024-03-03
92,0,Category1,2024-03-04
98,0,Category2,2024-03-05
66,0,Category2,2024-03-06
32,0,Category3,2024-03-07
87,0,Category3,2024-03-08
63,0,Category3,2024-03-09
86,0,Category3,2024-03-10
51,0,Category2,2024-03-11
25,0,Category3,2024-03-12
58,0,Category3,2024-03-13
63,0,Category1,2024-03-14
62,0,Category3,2024-03-15
22,0,Category1,2024-03-16
58,0,Category2,2024-03-17
58,0,Category3,2024-03-18
86,0,Category1,2024-03-19
49,0,Category3,2024-03-20
52,0,Category1,2024-03-21
42,0,Category3,2024-03-22
70,0,Category2,2024-03-23
15,0,Category2,2024-03-24
54,0,Category1,2024-03-25
60,0,Category1,2024-03-26
97,0,Category2,2024-03-27
8,0,Category3,2024-03-28
53,0,Category1,2024-03-29
60,0,Category2,2024-03-30
5,0,Category1,2024-03-31
68,0,Category2,2024-04-01
6,0,Category2,2024-04-02
96,0,Category1,2024-04-03
94,0,Category1,2024-04-04
47,0,Category2,2024-04-05
99,0,Category3,2024-04-06
55,0,Category2,2024-04-07
40,0,Category3,2024-04-08
52,0,Category3,2024-04-09
16,0,Category3,2024-04-10
13,0,Category1,2024-04-11
30,0,Category2,2024-04-12
19,0,Category2,2024-04-13
17,0,Category3,2024-04-14
63,0,Category3,2024-04-15
19,0,Category3,2024-04-16
92,0,Category2,2024-04-17
58,0,Category3,2024-04-18
55,0,Category2,2024-04-19
90,0,Category2,2024-04-20
90,0,Category1,2024-04-21
62,0,Category3,2024-04-22
23,0,Category3,2024-04-23
9,0,Category3,2024-04-24
12,0,Category1,2024-04-25
1,0,Category3,2024-04-26
58,0,Category2,2024-04-27
1,0,Category3,2024-04-28
34,0,Category2,2024-04-29
96,0,Category2,2024-04-30
48,0,Category2,2024-05-01
89,0,Category2,2024-05-02
1,0,Category3,2024-05-03
16,0,Category1,2024-05-04
61,0,Category1,2024-05-05
64,0,Category2,2024-05-06
63,0,Category3,2024-05-07
69,0,Category1,2024-05-08
22,0,Category3,2024-05-09
93,0,Category1,2024-05-10
67,0,Category2,2024-05-11
76,0,Category2,2024-05-12
26,0,Category2,2024-05-13
16,0,Category1,2024-05-14
51,0,Category3,2024-05-15
86,0,Category2,2024-05-16
57,0,Category3,2024-05-17
29,0,Category3,2024-05-18
78,0,Category2,2024-05-19
92,0,Category1,2024-05-20
69,0,Category2,2024-05-21
47,0,Category2,2024-05-22
94,0,Category1,2024-05-23
62,0,Category3,2024-05-24
69,0,Category1,2024-05-25
76,0,Category1,2024-05-26
16,0,Category2,2024-05-27
90,0,Category1,2024-05-28
90,0,Category1,2024-05-29
48,0,Category1,2024-05-30
85,0,Category3,2024-05-31
39,0,Category3,2024-06-01
33,0,Category2,2024-06-02
94,0,Category2,2024-06-03
23,0,Category3,2024-06-04
10,0,Category1,2024-06-05
69,0,Category2,2024-06-06
34,0,Category2,2024-06-07
52,0,Category1,2024-06-08
95,0,Category1,2024-06-09
10,0,Category1,2024-06-10
19,0,Category1,2024-06-11
58,0,Category1,2024-06-12
96,0,Category3,2024-06-13
1,0,Category1,2024-06-14
69,0,Category2,2024-06-15
4,0,Category3,2024-06-16
16,0,Category2,2024-06-17
24,0,Category1,2024-06-18
80,0,Category2,2024-06-19
2,0,Category1,2024-06-20
92,0,Category2,2024-06-21
32,0,Category2,2024-06-22
91,0,Category1,2024-06-23
84,0,Category2,2024-06-24
24,0,Category3,2024-06-25
12,0,Category2,2024-06-26
50,0,Category3,2024-06-27
35,0,Category3,2024-06-28
33,0,Category2,2024-06-29
33,0,Category3,2024-06-30
61,0,Category3,2024-07-01
51,0,Category2,2024-07-02
43,0,Category1,2024-07-03
12,0,Category1,2024-07-04
67,0,Category3,2024-07-05
65,0,Category3,2024-07-06
33,0,Category1,2024-07-07
40,0,Category3,2024-07-08
74,0,Category1,2024-07-09
43,0,Category2,2024-07-10
44,0,Category3,2024-07-11
29,0,Category2,2024-07-12
13,0,Category1,2024-07-13
12,0,Category1,2024-07-14
95,0,Category2,2024-07-15
46,0,Category3,2024-07-16
2,0,Category2,2024-07-17
35,0,Category2,2024-07-18
87,0,Category3,2024-07-19
81,0,Category1,2024-07-20
90,0,Category2,2024-07-21
8,0,Category2,2024-07-22
93,0,Category1,2024-07-23
26,0,Category2,2024-07-24
74,0,Category1,2024-07-25
90,0,Category3,2024-07-26
34,0,Category1,2024-07-27
7,0,Category1,2024-07-28
68,0,Category2,2024-07-29
58,0,Category1,2024-07-30
75,0,Category1,2024-07-31
29,0,Category2,2024-08-01
36,0,Category1,2024-08-02
89,0,Category2,2024-08-03
21,0,Category3,2024-08-04
36,0,Category1,2024-08-05
10,0,Category3,2024-08-06
73,0,Category1,2024-08-07
24,0,Category1,2024-08-08
64,0,Category3,2024-08-09
99,0,Category3,2024-08-10
49,0,Category2,2024-08-11
99,0,Category2,2024-08-12
36,0,Category3,2024-08-13
82,0,Category1,2024-08-14
96,0,Category2,2024-08-15
24,0,Category1,2024-08-16
23,0,Category2,2024-08-17
62,0,Category2,2024-08-18
96,0,Category2,2024-08-19
37,0,Category3,2024-08-20
12,0,Category1,2024-08-21
55,0,Category3,2024-08-22
13,0,Category2,2024-08-23
23,0,Category3,2024-08-24
89,0,Category3,2024-08-25
99,0,Category3,2024-08-26
30,0,Category1,2024-08-27
17,0,Category3,2024-08-28
62,0,Category3,2024-08-29
84,0,Category3,2024-08-30
89,0,Category3,2024-08-31
86,0,Category3,2024-09-01
13,0,Category3,2024-09-02
59,0,Category3,2024-09-03
19,0,Category2,2024-09-04
49,0,Category3,2024-09-05
12,0,Category3,2024-09-06
61,0,Category1,2024-09-07
19,0,Category2,2024-09-08
76,0,Category3,2024-09-09
9,0,Category1,2024-09-10
71,0,Category3,2024-09-11
28,0,Category3,2024-09-12
78,0,Category3,2024-09-13
95,0,Category3,2024-09-14
52,0,Category3,2024-09-15
83,0,Category1,2024-09-16
16,0,Category3,2024-09-17
69,0,Category1,2024-09-18
99,0,Category3,2024-09-19
12,0,Category1,2024-09-20
25,0,Category2,2024-09-21
52,0,Category3,2024-09-22
85,0,Category2,2024-09-23
53,0,Category2,2024-09-24
23,0,Category2,2024-09-25
16,0,Category3,2024-09-26
57,0,Category2,2024-09-27
39,0,Category1,2024-09-28
53,0,Category3,2024-09-29
42,0,Category2,2024-09-30
58,0,Category3,2024-10-01
39,0,Category2,2024-10-02
14,0,Category1,2024-10-03
95,0,Category3,2024-10-04
5,0,Category3,2024-10-05
35,0,Category2,2024-10-06
87,0,Category1,2024-10-07
93,0,Category3,2024-10-08
75,0,Category2,2024-10-09
18,0,Category1,2024-10-10
76,0,Category1,2024-10-11
9,0,Category1,2024-10-12
74,0,Category1,2024-10-13
58,0,Category3,2024-10-14
17,0,Category3,2024-10-15
7,0,Category1,2024-10-16
46,0,Category2,2024-10-17
13,0,Category2,2024-10-18
40,0,Category1,2024-10-19
42,0,Category1,2024-10-20
9,0,Category2,2024-10-21
50,0,Category1,2024-10-22
27,0,Category1,2024-10-23
66,0,Category3,2024-10-24
5,0,Category3,2024-10-25
29,0,Category1,2024-10-26
37,0,Category1,2024-10-27
38,0,Category3,2024-10-28
83,0,Category1,2024-10-29
8,0,Category3,2024-10-30
65,0,Category3,2024-10-31
86,0,Category2,2024-11-01
17,0,Category3,2024-11-02
71,0,Category2,2024-11-03
89,0,Category2,2024-11-04
45,0,Category3,2024-11-05
4,0,Category1,2024-11-06
36,0,Category3,2024-11-07
70,0,Category2,2024-11-08
31,0,Category3,2024-11-09
19,0,Category3,2024-11-10
61,0,Category2,2024-11-11
54,0,Category3,2024-11-12
39,0,Category3,2024-11-13
91,0,Category2,2024-11-14
74,0,Category1,2024-11-15
90,0,Category2,2024-11-16
19,0,Category2,2024-11-17
39,0,Category3,2024-11-18
67,0,Category2,2024-11-19
45,0,Category3,2024-11-20
13,0,Category3,2024-11-21
92,0,Category3,2024-11-22
58,0,Category2,2024-11-23
20,0,Category2,2024-11-24
92,0,Category3,2024-11-25
72,0,Category1,2024-11-26
61,0,Category1,2024-11-27
39,0,Category2,2024-11-28
1,0,Category3,2024-11-29
3,0,Category3,2024-11-30
77,0,Category2,2024-12-01
92,0,Category1,2024-12-02
62,0,Category2,2024-12-03
63,0,Category2,2024-12-04
25,0,Category3,2024-12-05
56,0,Category2,2024-12-06
33,0,Category1,2024-12-07
38,0,Category2,2024-12-08
6,0,Category3,2024-12-09
58,0,Category1,2024-12-10
44,0,Category3,2024-12-11
45,0,Category2,2024-12-12
32,0,Category2,2024-12-13
45,0,Category2,2024-12-14
61,0,Category3,2024-12-15
47,0,Category2,2024-12-16
21,0,Category1,2024-12-17
80,0,Category1,2024-12-18
85,0,Category3,2024-12-19
75,0,Category3,2024-12-20
36,0,Category3,2024-12-21
99,0,Category2,2024-12-22
19,0,Category1,2024-12-23
20,0,Category1,2024-12-24
57,0,Category1,2024-12-25
18,0,Category3,2024-12-26
47,0,Category3,2024-12-27
49,0,Category2,2024-12-28
14,0,Category3,2024-12-29
15,0,Category1,2024-12-30
31,0,Category2,2024-12-31
1,0,Category3,2025-01-01
54,0,Category3,2025-01-02
3,0,Category1,2025-01-03
16,0,Category2,2025-01-04
87,0,Category3,2025-01-05
57,0,Category3,2025-01-06
75,0,Category2,2025-01-07
12,0,Category2,2025-01-08
74,0,Category3,2025-01-09
96,0,Category3,2025-01-10
16,0,Category1,2025-01-11
72,0,Category2,2025-01-12
76,0,Category3,2025-01-13
24,0,Category3,2025-01-14
28,0,Category3,2025-01-15
8,0,Category3,2025-01-16
92,0,Category1,2025-01-17
36,0,Category2,2025-01-18
90,0,Category3,2025-01-19
8,0,Category2,2025-01-20
58,0,Category2,2025-01-21
60,0,Category3,2025-01-22
50,0,Category3,2025-01-23
28,0,Category3,2025-01-24
92,0,Category1,2025-01-25
41,0,Category3,2025-01-26
64,0,Category2,2025-01-27
27,0,Category2,2025-01-28
63,0,Category1,2025-01-29
17,0,Category3,2025-01-30
73,0,Category3,2025-01-31
33,0,Category1,2025-02-01
84,0,Category1,2025-02-02
77,0,Category3,2025-02-03
92,0,Category3,2025-02-04
29,0,Category2,2025-02-05
13,0,Category3,2025-02-06
46,0,Category3,2025-02-07
35,0,Category2,2025-02-08
6,0,Category2,2025-02-09
82,0,Category2,2025-02-10
69,0,Category2,2025-02-11
47,0,Category1,2025-02-12
25,0,Category2,2025-02-13
66,0,Category1,2025-02-14
10,0,Category2,2025-02-15
56,0,Category2,2025-02-16
30,0,Category2,2025-02-17
5,0,Category3,2025-02-18
33,0,Category1,2025-02-19
65,0,Category2,2025-02-20
18,0,Category3,2025-02-21
96,0,Category1,2025-02-22
49,0,Category1,2025-02-23
11,0,Category3,2025-02-24
85,0,Category1,2025-02-25
26,0,Category3,2025-02-26
63,0,Category2,2025-02-27
89,0,Category3,2025-02-28
86,0,Category1,2025-03-01
59,0,Category1,2025-03-02
27,0,Category2,2025-03-03
49,0,Category3,2025-03-04
77,0,Category2,2025-03-05
33,0,Category3,2025-03-06
98,0,Category3,2025-03-07
99,0,Category3,2025-03-08
1,0,Category2,2025-03-09
21,0,Category2,2025-03-10
55,0,Category1,2025-03-11
6,0,Category2,2025-03-12
92,0,Category3,2025-03-13
81,0,Category3,2025-03-14
69,0,Category3,2025-03-15
95,0,Category2,2025-03-16
5,0,Category1,2025-03-17
3,0,Category2,2025-03-18
53,0,Category1,2025-03-19
23,0,Category2,2025-03-20
53,0,Category3,2025-03-21
37,0,Category1,2025-03-22
74,0,Category2,2025-03-23
74,0,Category3,2025-03-24
83,0,Category1,2025-03-25
17,0,Category1,2025-03-26
85,0,Category3,2025-03-27
78,0,Category3,2025-03-28
73,0,Category2,2025-03-29
1,0,Category2,2025-03-30
51,0,Category3,2025-03-31
45,0,Category2,2025-04-01
77,0,Category3,2025-04-02
4,0,Category3,2025-04-03
62,0,Category2,2025-04-04
65,0,Category2,2025-04-05
32,0,Category1,2025-04-06
34,0,Category1,2025-04-07
92,0,Category2,2025-04-08
95,0,Category2,2025-04-09
72,0,Category2,2025-04-10
39,0,Category1,2025-04-11
26,0,Category2,2025-04-12
34,0,Category1,2025-04-13
54,0,Category1,2025-04-14
3,0,Category1,2025-04-15
50,0,Category1,2025-04-16
12,0,Category3,2025-04-17
65,0,Category2,2025-04-18
54,0,Category2,2025-04-19
5,0,Category3,2025-04-20
94,0,Category2,2025-04-21
94,0,Category1,2025-04-22
57,0,Category3,2025-04-23
17,0,Category1,2025-04-24
47,0,Category3,2025-04-25
23,0,Category1,2025-04-26
79,0,Category2,2025-04-27
85,0,Category2,2025-04-28
14,0,Category2,2025-04-29
66,0,Category3,2025-04-30
75,0,Category2,2025-05-01
51,0,Category3,2025-05-02
38,0,Category1,2025-05-03
64,0,Category2,2025-05-04
98,0,Category1,2025-05-05
38,0,Category2,2025-05-06
50,0,Category1,2025-05-07
98,0,Category3,2025-05-08
82,0,Category2,2025-05-09
30,0,Category3,2025-05-10
79,0,Category3,2025-05-11
91,0,Category1,2025-05-12
51,0,Category2,2025-05-13
63,0,Category3,2025-05-14
98,0,Category1,2025-05-15
52,0,Category1,2025-05-16
38,0,Category1,2025-05-17
97,0,Category2,2025-05-18
88,0,Category2,2025-05-19
79,0,Category1,2025-05-20
30,0,Category2,2025-05-21
51,0,Category1,2025-05-22
81,0,Category2,2025-05-23
5,0,Category2,2025-05-24
29,0,Category1,2025-05-25
4,0,Category1,2025-05-26
10,0,Category2,2025-05-27
56,0,Category1,2025-05-28
17,0,Category1,2025-05-29
74,0,Category1,2025-05-30
17,0,Category1,2025-05-31
84,0,Category2,2025-06-01
88,0,Category3,2025-06-02
69,0,Category2,2025-06-03
34,0,Category1,2025-06-04
6,0,Category1,2025-06-05
53,0,Category2,2025-06-06
66,0,Category1,2025-06-07
77,0,Category2,2025-06-08
43,0,Category3,2025-06-09
75,0,Category1,2025-06-10
23,0,Category3,2025-06-11
55,0,Category3,2025-06-12
80,0,Category1,2025-06-13
95,0,Category1,2025-06-14
75,0,Category2,2025-06-15
16,0,Category2,2025-06-16
8,0,Category1,2025-06-17
4,0,Category2,2025-06-18
4,0,Category3,2025-06-19
56,0,Category3,2025-06-20
25,0,Category1,2025-06-21
67,0,Category2,2025-06-22
96,0,Category1,2025-06-23
67,0,Category3,2025-06-24
27,0,Category1,2025-06-25
93,0,Category1,2025-06-26
32,0,Category1,2025-06-27
50,0,Category1,2025-06-28
61,0,Category3,2025-06-29
51,0,Category1,2025-06-30
19,0,Category1,2025-07-01
21,0,Category2,2025-07-02
5,0,Category1,2025-07-03
82,0,Category2,2025-07-04
92,0,Category1,2025-07-05
42,0,Category2,2025-07-06
61,0,Category1,2025-07-07
22,0,Category2,2025-07-08
21,0,Category1,2025-07-09
70,0,Category1,2025-07-10
1,0,Category2,2025-07-11
5,0,Category1,2025-07-12
12,0,Category1,2025-07-13
90,0,Category1,2025-07-14
46,0,Category1,2025-07-15
34,0,Category3,2025-07-16
49,0,Category1,2025-07-17
78,0,Category3,2025-07-18
90,0,Category3,2025-07-19
45,0,Category1,2025-07-20
